MIG,VM,KS Statistic,MIG geo mean,VM geo mean,Geo distance (MIG/VM)
del03,del05,0.022222222222222223,4.258904639899751,4.550327858029377,0.9359555559023316
hnd06,hnd07,0.013333333333333334,19.79171552153349,19.235258549054194,1.0289290092493535
iad07,iad09,0.022222222222222223,17.73789876214428,17.96862019467848,0.9871597579538951
lhr09,lhr10,0.02666666666666667,9.881398862943145,10.268669658703523,0.9622861764345361
scl05,scl06,0.05333333333333334,6.263170019525188,6.430299420063616,0.9740090795745909
syd07,syd08,0.02666666666666667,5.757494845688314,6.14760895820445,0.9365421393637117
